"HDI Rank","Country","2003","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2012-2017",""
"Prison population (per 100,000 people)
SDG 16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all
Dimension: Human Security
Definition: Number of adult and juvenile prisoners–excluding non-criminal prisoners held for administrative purposes, unless otherwise noted, held in prisons, penal Institutions or correctional Institutions–expressed per 100,000 population.
Source: UNODC (United Nations Office on Drugs and Crime) (2019). UNODC Statistics and Data. https://dataunodc.un.org. Accessed 3 June 2019."
"24"," Slovenia","54","","57","","66","","62","","67","","66","","73","","67","","63","","63","","63","a"
"153"," Solomon Islands","..","","63","","51","","..","","53","","57","","49","","46","","73","","78","","78","a"
"113"," South Africa","380","","322","","317","","305","","298","","291","","284","","289","","..","","279","","279","a"
"186"," South Sudan","..","","..","","..","","..","","..","","..","","..","","55","","..","","..","","55","a"
"25"," Spain","132","","139","","158","","150","","146","","143","","140","","133","","128","","127","","127","a"
"71"," Sri Lanka","..","","113","","129","","114","","114","","132","","96","","92","","84","","99","","99","a"
"168"," Sudan","41","","..","","..","","57","","..","","52","","..","","..","","..","","52","","52","a"
"98"," Suriname","..","","164","","..","","190","","..","","194","","183","","..","","..","","..","","183","a"
"8"," Sweden","75","","82","","73","","70","","66","","60","","60","","58","","58","","58","","58","a"
"2"," Switzerland","72","","83","","74","","71","","76","","82","","79","","78","","78","","77","","77","a"
"154"," Syrian Arab Republic","68","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"125"," Tajikistan","152","","..","","122","","..","","..","","..","","..","","..","","..","","..","","..",""
"159"," Tanzania (United Republic of)","..","","118","","..","","81","","68","","72","","65","","64","","..","","..","","64","a"
"77"," Thailand","..","","248","","314","","332","","346","","411","","465","","471","","473","","540","","540","a"
"131"," Timor-Leste","33","","..","","..","","23","","26","","..","","..","","47","","..","","51","","51","a"
"167"," Togo","59","","..","","63","","..","","61","","..","","62","","60","","59","","62","","62","a"
"105"," Tonga","..","","127","","153","","..","","151","","..","","166","","..","","..","","..","","166","a"
"63"," Trinidad and Tobago","..","","291","","278","","321","","277","","268","","249","","548","","..","","292","","292","a"
"91"," Tunisia","..","","..","","..","","195","","..","","227","","..","","209","","..","","180","","180","a"
"59"," Turkey","97","","82","","166","","175","","183","","190","","207","","228","","253","","322","","322","a"
"108"," Turkmenistan","332","","283","","521","","..","","..","","570","","..","","..","","..","","529","","529","a"
".."," Tuvalu","..","","70","","76","","..","","112","","..","","101","","..","","..","","..","","101","a"
